"dataset" "group"
"1" "TCGA-05-4384" "training"
"2" "TCGA-05-4390" "training"
"3" "TCGA-05-4396" "training"
"4" "TCGA-05-4405" "training"
"5" "TCGA-05-4410" "training"
"6" "TCGA-05-4415" "training"
"7" "TCGA-05-4417" "training"
"8" "TCGA-05-4424" "training"
"9" "TCGA-05-4433" "training"
"10" "TCGA-05-5420" "training"
"11" "TCGA-05-5423" "training"
"12" "TCGA-05-5428" "training"
"13" "TCGA-05-5429" "training"
"14" "TCGA-05-5715" "training"
"15" "TCGA-35-5375" "training"
"16" "TCGA-38-4631" "training"
"17" "TCGA-38-4632" "training"
"18" "TCGA-38-6178" "training"
"19" "TCGA-38-7271" "training"
"20" "TCGA-38-A44F" "training"
"21" "TCGA-44-2656" "training"
"22" "TCGA-44-2665" "training"
"23" "TCGA-44-2666" "training"
"24" "TCGA-44-2668" "training"
"25" "TCGA-44-3917" "training"
"26" "TCGA-44-3918" "training"
"27" "TCGA-44-4112" "training"
"28" "TCGA-44-5643" "training"
"29" "TCGA-44-5644" "training"
"30" "TCGA-44-5645" "training"
"31" "TCGA-44-6144" "training"
"32" "TCGA-44-6145" "training"
"33" "TCGA-44-6147" "training"
"34" "TCGA-44-6148" "training"
"35" "TCGA-44-6774" "training"
"36" "TCGA-44-6775" "training"
"37" "TCGA-44-6778" "training"
"38" "TCGA-44-6779" "training"
"39" "TCGA-44-7659" "training"
"40" "TCGA-44-7660" "training"
"41" "TCGA-44-7667" "training"
"42" "TCGA-44-7669" "training"
"43" "TCGA-44-7670" "training"
"44" "TCGA-44-7671" "training"
"45" "TCGA-44-8117" "training"
"46" "TCGA-44-A479" "training"
"47" "TCGA-44-A47A" "training"
"48" "TCGA-44-A47B" "training"
"49" "TCGA-44-A47F" "training"
"50" "TCGA-44-A47G" "training"
"51" "TCGA-44-A4SS" "training"
"52" "TCGA-44-A4SU" "training"
"53" "TCGA-49-4487" "training"
"54" "TCGA-49-4490" "training"
"55" "TCGA-49-4512" "training"
"56" "TCGA-49-6742" "training"
"57" "TCGA-49-6744" "training"
"58" "TCGA-49-6745" "training"
"59" "TCGA-49-6761" "training"
"60" "TCGA-49-6767" "training"
"61" "TCGA-49-AAQV" "training"
"62" "TCGA-49-AAR0" "training"
"63" "TCGA-49-AAR2" "training"
"64" "TCGA-49-AAR3" "training"
"65" "TCGA-49-AAR9" "training"
"66" "TCGA-49-AARE" "training"
"67" "TCGA-49-AARN" "training"
"68" "TCGA-4B-A93V" "training"
"69" "TCGA-50-5044" "training"
"70" "TCGA-50-5045" "training"
"71" "TCGA-50-5049" "training"
"72" "TCGA-50-5051" "training"
"73" "TCGA-50-5055" "training"
"74" "TCGA-50-5066" "training"
"75" "TCGA-50-5068" "training"
"76" "TCGA-50-5072" "training"
"77" "TCGA-50-5930" "training"
"78" "TCGA-50-5931" "training"
"79" "TCGA-50-5932" "training"
"80" "TCGA-50-5933" "training"
"81" "TCGA-50-5935" "training"
"82" "TCGA-50-5936" "training"
"83" "TCGA-50-5939" "training"
"84" "TCGA-50-5941" "training"
"85" "TCGA-50-5944" "training"
"86" "TCGA-50-5946" "training"
"87" "TCGA-50-6590" "training"
"88" "TCGA-50-6591" "training"
"89" "TCGA-50-6592" "training"
"90" "TCGA-50-6593" "training"
"91" "TCGA-50-6594" "training"
"92" "TCGA-50-6595" "training"
"93" "TCGA-50-6597" "training"
"94" "TCGA-50-6673" "training"
"95" "TCGA-50-7109" "training"
"96" "TCGA-50-8460" "training"
"97" "TCGA-53-7624" "training"
"98" "TCGA-53-7626" "training"
"99" "TCGA-53-7813" "training"
"100" "TCGA-53-A4EZ" "training"
"101" "TCGA-55-6543" "training"
"102" "TCGA-55-6712" "training"
"103" "TCGA-55-6968" "training"
"104" "TCGA-55-6969" "training"
"105" "TCGA-55-6970" "training"
"106" "TCGA-55-6971" "training"
"107" "TCGA-55-6972" "training"
"108" "TCGA-55-6978" "training"
"109" "TCGA-55-6980" "training"
"110" "TCGA-55-6981" "training"
"111" "TCGA-55-6983" "training"
"112" "TCGA-55-6985" "training"
"113" "TCGA-55-6986" "training"
"114" "TCGA-55-6987" "training"
"115" "TCGA-55-7227" "training"
"116" "TCGA-55-7281" "training"
"117" "TCGA-55-7283" "training"
"118" "TCGA-55-7570" "training"
"119" "TCGA-55-7573" "training"
"120" "TCGA-55-7574" "training"
"121" "TCGA-55-7576" "training"
"122" "TCGA-55-7725" "training"
"123" "TCGA-55-7726" "training"
"124" "TCGA-55-7727" "training"
"125" "TCGA-55-7728" "training"
"126" "TCGA-55-7815" "training"
"127" "TCGA-55-7816" "training"
"128" "TCGA-55-7907" "training"
"129" "TCGA-55-7910" "training"
"130" "TCGA-55-7911" "training"
"131" "TCGA-55-7994" "training"
"132" "TCGA-55-8085" "training"
"133" "TCGA-55-8087" "training"
"134" "TCGA-55-8090" "training"
"135" "TCGA-55-8092" "training"
"136" "TCGA-55-8094" "training"
"137" "TCGA-55-8096" "training"
"138" "TCGA-55-8097" "training"
"139" "TCGA-55-8203" "training"
"140" "TCGA-55-8204" "training"
"141" "TCGA-55-8301" "training"
"142" "TCGA-55-8302" "training"
"143" "TCGA-55-8505" "training"
"144" "TCGA-55-8507" "training"
"145" "TCGA-55-8508" "training"
"146" "TCGA-55-8510" "training"
"147" "TCGA-55-8511" "training"
"148" "TCGA-55-8512" "training"
"149" "TCGA-55-8513" "training"
"150" "TCGA-55-8514" "training"
"151" "TCGA-55-8614" "training"
"152" "TCGA-55-8615" "training"
"153" "TCGA-55-8616" "training"
"154" "TCGA-55-8619" "training"
"155" "TCGA-55-8621" "training"
"156" "TCGA-55-A48X" "training"
"157" "TCGA-55-A48Y" "training"
"158" "TCGA-55-A48Z" "training"
"159" "TCGA-55-A490" "training"
"160" "TCGA-55-A492" "training"
"161" "TCGA-55-A493" "training"
